doi,title,text
10.1016/j.cognition.2010.01.001,Proximate units in word production: Phonological encoding begins with syllables in Mandarin Chinese but with segments in English ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100210', '$': '2010-02-10'}}}}"
10.1016/j.cognition.2010.01.002,Speech-and-gesture integration in high functioning autism ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100330', '$': '2010-03-30'}}}}"
10.1016/j.cognition.2010.01.003,Mapping introspection’s blind spot: Reconstruction of dual-task phenomenology using quantified introspection ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100202', '$': '2010-02-02'}}}}"
10.1016/j.cognition.2010.01.004,Response interference between functional and structural actions linked to the same familiar object ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100213', '$': '2010-02-13'}}}}"
10.1016/j.cognition.2010.01.005,The development of perceptual grouping biases in infancy: A Japanese-English cross-linguistic study ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100209', '$': '2010-02-09'}}}}"
10.1016/j.cognition.2010.01.006,Infants use rational decision criteria for choosing among models of their input ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100209', '$': '2010-02-09'}}}}"
10.1016/j.cognition.2010.01.007,Corrigendum to Tic Tac TOE: Effects of predictability and importance on acoustic prominence in language production,"serial JL 271061 291210 291723 291726 291738 291743 291782 31 Cognition COGNITION 2010-02-12 2010-02-12 2010-11-01T01:33:26 1-s2.0-S001002771000020X S0010-0277(10)00020-X S001002771000020X 10.1016/j.cognition.2010.01.007 S300 S300.1 FULL-TEXT 1-s2.0-S0010027710X00038 2015-05-14T00:00:22.981292-04:00 0 0 20100301 20100331 2010 2010-02-12T00:00:00Z articleinfo crossmark dco dateupdated tomb dateloaded datesearch indexeddate issuelist volumelist yearnav articletitlenorm authfirstinitialnorm authfirstsurnamenorm cid cids contenttype copyright dateloadedtxt docsubtype doctype doi eid ewtransactionid hubeid issfirst issn issnnorm itemstage itemtransactionid itemweight openaccess openarchive pg pgfirst pglast pii piinorm pubdateend pubdatestart pubdatetxt pubyr sectiontitle sortorder srctitle srctitlenorm srctype subheadings volfirst volissue webpdf webpdfpagecount table body affil articletitle auth authfirstini authfull authlast footnotes pubtype ref alllist content subj ssids 0010-0277 00100277 114 114 3 3 Volume 114, Issue 3 16 462 463 462 463 201003 March 2010 2010-03-01 2010-03-31 2010 Corrigendum simple-article err Copyright © 2010 Elsevier B.V. All rights reserved. CORRIGENDUMTICTACTOEEFFECTSPREDICTABILITYIMPORTANCEACOUSTICPROMINENCEINLANGUAGEPRODUCTION WATSON D 10.1016/j.cognition.2007.06.009 S0010027707001783 References BARD 2000 1 22 E BELL 2009 92 111 A WATSON 2008 1548 1557 D WATSONX2010X462 WATSONX2010X462X463 WATSONX2010X462XD WATSONX2010X462X463XD item S0010-0277(10)00020-X S001002771000020X 1-s2.0-S001002771000020X 10.1016/j.cognition.2010.01.007 271061 2010-12-11T07:00:12.860275-05:00 2010-03-01 2010-03-31 1-s2.0-S001002771000020X-main.pdf https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S001002771000020X/MAIN/application/pdf/bf1e8aa7a15203e1c2121e0b4f3db15d/main.pdf https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S001002771000020X/MAIN/application/pdf/bf1e8aa7a15203e1c2121e0b4f3db15d/main.pdf main.pdf pdf true 119961 MAIN 2 1-s2.0-S001002771000020X-main_1.png https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S001002771000020X/PREVIEW/image/png/de3994464993c36b6891ac98f5d4450b/main_1.png https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S001002771000020X/PREVIEW/image/png/de3994464993c36b6891ac98f5d4450b/main_1.png main_1.png png 59292 849 656 IMAGE-WEB-PDF 1 COGNIT 2099 S0010-0277(10)00020-X 10.1016/j.cognition.2010.01.007 S0010-0277(07)00178-3 10.1016/j.cognition.2007.06.009 Elsevier B.V. Table 1 The duration, intensity, and F0 of the entire move. Important/predictable Unimportant/unpredictable Duration (ms) 1688 (59) 2732 (173) Intensity (db) 67.71 (.84) 67.08 (.79) Minimum F0 (Hz) 107 (9) 106 (9) Maximum F0 (Hz) 188 (15) 189 (15) Average F0 (Hz) 144 (11) 144 (10) Table 2 The duration, intensity and F0 of the cell numbers. Important/predictable Unimportant/unpredictable Duration (ms) 479 (23) 537 (22) Intensity (db) 62.83 (.75) 63.25 (.74) Minimum F0 (Hz) 115 (7) 112 (7) Maximum F0 (Hz) 159 (11) 161 (11) Average F0 (Hz) 135 (9) 134 (8) Corrigendum Corrigendum to Tic Tac TOE: Effects of predictability and importance on acoustic prominence in language production Duane G. Watson a ⁎ dgwatson@illinois.edu Jennifer E. Arnold b Michael K. Tanenhaus c a University of Illinois Urbana Champaign, United States b University of North Carolina Chapel Hill, United States c University of Rochester, United States ⁎ Corresponding author. Address: 603 East Daniel St., Champaign, IL 61820, United States. Tel.: +1 217 333 0280. Watson, Arnold, and Tanenhaus (2008) used the game of Tic Tac Toe to investigate the link between predictability, importance, and acoustic prominence. We reported that in moves that were unpredictable (and unimportant) the target word, which was the number of a cell in a 3 by 3 grid, was produced with longer duration and a higher F0 than the target word in moves that were predictable (and important). We also reported that the target word in moves that were predictable (and important) was produced with greater intensity. We concluded that importance and predictability were independent factors in acoustic prominence. We found evidence that predictability was linked to speaker-centered processes while importance may be linked to marking important information for the listener. After publication, we found an error in the scripts used to extract acoustic information from the target number. The data reported in Watson, Arnold and Tanenhaus did not just contain information from the cell number, but also from segments preceding it (usually the entire utterance, although not always). Here we report the correct intensity, F0, and duration for the cell number as well as the entire utterance. Table 1 presents the means of the acoustic measures of the entire utterance. In an analysis of the entire utterance, predictable moves were reliably shorter than unpredictable moves, F1(1,19)=51.39, p <.001; F2(1,8)=157.74, p <.001. In contrast, important moves were produced with greater intensity than unimportant moves, F(1,19)=20.20, p <.001; F2(1,8)=12.67, p <.01. There was a numerical trend for F0 to have a higher minimum and lower maximum over the entire utterance in the predictable condition, but the differences by condition were not consistently reliable by both subjects and items. 1 For maximum F0, F1<1; F2(1,8)=8.01, p <.05. For minimum F0, F1(1,19)=6.41, p <.05; F2(1,8)=1.57. 1 In an analysis of just the cell number (Table 2 ), unpredictable moves were still reliably longer than predictable moves, F1(1,19)=30.25, p <.001; F2(1,8)=50.06, p <.001. Unpredictable moves had greater intensity then predictable moves although this was only reliable by subjects and not items, F1(1,19)=6.17, p <.05; F2<1. There were no differences in F0. Thus, the corrected results still support our original conclusion that importance and predictability independently influence acoustic realization. However, this is true only when we consider the utterance as a whole. For the cell number itself, we only found an effect of predictability. From these data, we can conclude two things. The first is that effects of predictability are not necessarily localized to individual words: both the unpredictable cell number and the words that preceded it were lengthened. This may reflect effects of planning processes being engaged during the production of the words that preceded the target, supported by the fact that the rate of disfluency in these moves was greater. In fact, several models of speech production attribute the reduction associated with predictable material with speaker-centered production processes (e.g. Bard et al., 2000; Bell et al., 2009). Because these words are less difficult to access, they are produced with less prominence. Second, these data suggest that factors that correlate with prominence, such as duration and intensity, can fractionate at the utterance level, and that intensity might play a special role in marking importance information. Although we do not find evidence for this divergence at the word level in this dataset, more recent work suggests that this is also possible. Lam, Watson, and Arnold (2008, 2009) independently manipulated repetition and predictability. They found that repeated words (which are easy to access) are reduced regardless of predictability, and words that are unexpected tend to be uttered with greater intensity, regardless of repetition. Overall, these data suggest that both predictability and importance can influence the acoustic properties of an utterance but in different ways. References Bard et al., 2000 E.G. Bard A.H. Anderson C. Sotillo M. Aylett G. Doherty-Sneddon A. Newlands Controlling the intelligibility of referring expressions in dialogue Journal of Memory and Language 42 1 2000 1 22 Bell et al., 2009 A. Bell J. Brenier M. Gregory C. Girand D. Jurafsky Predictability effects on durations of content and function words in conversational English Journal of Memory and Language 60:1 2009 92 111 Lam et al., 2008 Lam, T., Watson, D. G., & Arnold, J. (2008). Effects of repeated mention and predictability on the production of acoustic prominence. Poster presented at ETAP 2008: Experimental and theoretical advances in prosody, Ithaca, NY. Lam et al., 2009 Lam, T., Watson, D. G., & Arnold, J. (2009). Do repeated mention and expectancy independently affect prosodic prominence? Poster presentation at CUNY 2009: Conference on human sentence processing conference, Davis, CA. Watson et al., 2008 D. Watson J. Arnold M. Tanenhaus Tic Tac TOE: Effects of predictability and importance on acoustic prominence in language production Cognition 106 2008 1548 1557"
10.1016/j.cognition.2010.02.001,Is young children’s recognition of pretense metarepresentational or merely behavioral? Evidence from 2- and 3-year-olds’ understanding of pretend sounds and speech ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100224', '$': '2010-02-24'}}}}"
10.1016/j.cognition.2010.02.002,Non-symbolic arithmetic abilities and mathematics achievement in the first year of formal schooling ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100329', '$': '2010-03-29'}}}}"
10.1016/j.cognition.2010.02.003,"On intuitional stability: The clear, the strong, and the paradigmatic ","{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20100309', '$': '2010-03-09'}}}}"
