doi,title,text
10.1016/j.cognition.2003.05.001,Commanding the direction of passive whole-body rotations facilitates egocentric spatial updating ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031119', '$': '2003-11-19'}}}}"
10.1016/j.cognition.2003.07.008,Mental representations of social status ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20040506', '$': '2004-05-06'}}}}"
10.1016/j.cognition.2003.08.002,A unique look at face processing: the impact of masked faces on the processing of facial features ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031022', '$': '2003-10-22'}}}}"
10.1016/j.cognition.2003.08.003,Abstract morphemes and lexical representation: the CV-Skeleton in Arabic ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031126', '$': '2003-11-26'}}}}"
10.1016/j.cognition.2003.09.001,Rectification ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031014', '$': '2003-10-14'}}}}"
10.1016/j.cognition.2003.09.002,Lexical orthographic knowledge develops from the beginning of literacy acquisition ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031113', '$': '2003-11-13'}}}}"
10.1016/j.cognition.2003.09.003,Infants chunk object arrays into sets of individuals ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031113', '$': '2003-11-13'}}}}"
10.1016/j.cognition.2003.09.004,Baby arithmetic: one object plus one tone ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031113', '$': '2003-11-13'}}}}"
10.1016/j.cognition.2003.09.005,Macaque monkeys discriminate pitch relationships ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031119', '$': '2003-11-19'}}}}"
10.1016/j.cognition.2003.09.006,Do current connectionist learning models account for reading development in different languages? ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031121', '$': '2003-11-21'}}}}"
10.1016/j.cognition.2003.09.007,Have sex differences in spatial ability evolved from male competition for mating and female concern for survival? ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031119', '$': '2003-11-19'}}}}"
10.1016/j.cognition.2003.09.008,Neural correlates of the effects of morphological family frequency and family size: an MEG study ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031119', '$': '2003-11-19'}}}}"
10.1016/j.cognition.2003.09.009,Word category and verb–argument structure information in the dynamics of parsing ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20031202', '$': '2003-12-02'}}}}"
10.1016/j.cognition.2003.09.010,Cortical bases of speech perception:evidence from functional lesion studies ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20040211', '$': '2004-02-11'}}}}"
10.1016/j.cognition.2003.09.011,A holistic account of the own-race effect in face recognition: evidence from a cross-cultural study ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20040121', '$': '2004-01-21'}}}}"
10.1016/j.cognition.2003.09.012,Young infants' reasoning about hidden objects: evidence from violation-of-expectation tasks with test trials only ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20040310', '$': '2004-03-10'}}}}"
10.1016/j.cognition.2003.09.013,How surprising is a simple pattern? Quantifying “Eureka!” ,"{'xocs:doc': {'xocs:meta': {'xocs:open-access': {'xocs:oa-article-status': {'@is-open-access': '0', '@is-open-archive': '0'}}, 'xocs:available-online-date': {'@yyyymmdd': '20040311', '$': '2004-03-11'}}}}"
